cod_proposta,cod_cliente,cod_colaborador,data_entrada_proposta,taxa_juros_mensal,valor_proposta,valor_financiamento,valor_entrada,valor_prestacao,quantidade_parcelas,carencia,status_proposta,,,,,
483,28,17,2015-04-03 04:34:11 UTC,1%,"$13,056.94 ","$18,009.22 ","$4,952.28 ",$285.16 ,63,3,Enviada,,,,,
508,857,17,2017-08-21 18:47:21 UTC,1%,"$21,295.36 ","$40,141.99 ","$18,846.63 ",$286.72 ,115,1,Enviada,,,,,
687,2,17,2014-06-18 12:27:41 UTC,2%,"$59,582.47 ","$89,576.90 ","$29,994.43 ","$1,263.25 ",111,3,Enviada,,,,,
1602,858,17,2017-08-01 09:32:19 UTC,2%,"$12,469.46 ","$20,343.34 ","$7,873.88 ",$322.16 ,92,6,Enviada,,,,,
1815,192,17,2019-07-25 02:13:59 UTC,2%,"$57,306.66 ","$77,305.08 ","$19,998.42 ","$58,544.49 ",1,0,Enviada,,,,,
104,921,18,2012-04-02 08:36:34 UTC,2%,"$19,286.33 ","$35,071.35 ","$15,785.02 ",$419.33 ,110,4,Enviada,,,,,
231,189,18,2016-12-10 16:16:53 UTC,2%,"$4,663.69 ","$8,762.78 ","$4,099.09 ",$113.18 ,106,2,Enviada,,,,,
302,448,18,2013-02-16 23:46:50 UTC,1%,"$206,514.64 ","$246,916.06 ","$40,401.42 ","$8,172.77 ",31,6,Enviada,,,,,
306,813,18,2011-03-31 22:02:19 UTC,2%,"$61,031.81 ","$102,755.99 ","$41,724.18 ","$6,776.70 ",10,5,Enviada,,,,,
353,750,18,2012-04-15 06:14:28 UTC,2%,"$108,348.99 ","$197,148.24 ","$88,799.25 ","$3,856.77 ",37,4,Enviada,,,,,
359,903,18,2012-05-06 08:07:37 UTC,2%,"$112,299.60 ","$167,978.57 ","$55,678.97 ","$2,657.71 ",73,5,Enviada,,,,,
505,853,18,2011-02-18 11:55:27 UTC,1%,"$133,575.20 ","$228,888.78 ","$95,313.58 ","$2,247.99 ",84,2,Enviada,,,,,
1466,105,18,2015-08-16 04:19:44 UTC,2%,"$101,145.62 ","$194,336.22 ","$93,190.60 ","$2,263.89 ",93,1,Enviada,,,,,
1914,523,18,2017-07-15 05:48:38 UTC,1%,"$173,873.84 ","$225,277.05 ","$51,403.21 ","$3,104.54 ",76,2,Enviada,,,,,
1920,516,18,2020-02-21 21:40:43 UTC,2%,"$53,781.13 ","$63,393.69 ","$9,612.56 ","$1,475.66 ",67,6,Enviada,,,,,
88,194,19,2012-10-03 08:20:31 UTC,1%,"$70,119.78 ","$134,983.88 ","$64,864.10 ","$3,738.11 ",21,6,Enviada,,,,,
413,715,19,2017-04-11 21:53:37 UTC,1%,"$18,053.35 ","$33,305.88 ","$15,252.53 ","$1,120.15 ",18,0,Enviada,,,,,
535,367,19,2017-10-17 15:19:55 UTC,2%,"$143,356.77 ","$183,308.52 ","$39,951.75 ","$3,236.78 ",86,1,Enviada,,,,,
552,804,19,2018-10-13 22:25:25 UTC,1%,"$104,362.53 ","$132,399.37 ","$28,036.84 ","$1,956.38 ",98,4,Enviada,,,,,
685,845,19,2011-05-15 21:38:19 UTC,1%,"$49,646.84 ","$91,935.02 ","$42,288.18 ","$1,063.15 ",64,3,Enviada,,,,,
1126,213,19,2021-03-04 09:06:04 UTC,1%,"$87,235.55 ","$103,873.90 ","$16,638.35 ","$44,240.31 ",2,5,Enviada,,,,,
1113,70,20,2021-01-06 05:30:01 UTC,2%,"$71,453.78 ","$104,460.86 ","$33,007.08 ","$1,663.61 ",100,4,Enviada,,,,,
180,641,21,2013-09-11 23:11:48 UTC,2%,"$162,205.41 ","$233,950.18 ","$71,744.77 ","$3,769.63 ",92,5,Enviada,,,,,
1515,845,21,2018-09-24 09:20:31 UTC,1%,"$51,909.58 ","$67,405.30 ","$15,495.72 ","$1,816.47 ",37,2,Enviada,,,,,
289,175,22,2013-12-17 23:03:46 UTC,2%,"$37,514.33 ","$67,230.70 ","$29,716.37 ",$811.48 ,120,4,Enviada,,,,,
467,522,22,2010-04-07 07:20:32 UTC,2%,"$150,255.60 ","$222,421.41 ","$72,165.81 ","$9,829.55 ",18,6,Enviada,,,,,
1235,359,22,2021-01-08 21:11:43 UTC,1%,"$187,941.97 ","$225,117.54 ","$37,175.57 ","$190,122.09 ",1,6,Enviada,,,,,
1555,562,22,2017-05-05 11:31:55 UTC,1%,"$125,720.20 ","$211,913.34 ","$86,193.14 ","$2,186.74 ",87,6,Enviada,,,,,
1726,56,22,2014-05-24 22:58:13 UTC,1%,"$57,910.76 ","$77,127.49 ","$19,216.73 ","$3,691.73 ",18,4,Enviada,,,,,
375,426,23,2021-05-20 01:38:29 UTC,1%,"$3,655.90 ","$4,480.41 ",$824.51 ,$61.02 ,88,5,Enviada,,,,,
540,132,23,2019-01-09 10:20:07 UTC,2%,"$161,533.19 ","$194,033.52 ","$32,500.33 ","$83,185.39 ",2,2,Enviada,,,,,
1227,58,23,2016-04-05 14:42:14 UTC,1%,"$100,950.48 ","$188,223.70 ","$87,273.22 ","$2,478.37 ",61,0,Enviada,,,,,
1337,647,23,2014-07-06 00:41:42 UTC,2%,"$80,642.27 ","$161,191.34 ","$80,549.07 ","$2,162.66 ",95,0,Enviada,,,,,
448,789,24,2017-11-11 05:58:58 UTC,2%,"$32,661.58 ","$50,022.95 ","$17,361.37 ",$833.86 ,66,4,Enviada,,,,,
1327,493,24,2014-10-23 18:49:28 UTC,1%,"$119,643.05 ","$148,560.12 ","$28,917.07 ","$2,445.98 ",69,4,Enviada,,,,,
1409,95,24,2011-06-21 01:03:38 UTC,2%,"$36,968.35 ","$44,757.84 ","$7,789.49 ",$788.56 ,103,4,Enviada,,,,,
1579,243,24,2015-03-12 19:56:53 UTC,2%,"$52,774.42 ","$67,777.71 ","$15,003.29 ","$1,875.35 ",37,5,Enviada,,,,,
165,651,25,2011-11-07 03:16:25 UTC,2%,"$188,359.28 ","$232,132.96 ","$43,773.68 ","$7,268.74 ",39,3,Enviada,,,,,
1608,984,25,2022-06-05 16:09:28 UTC,2%,"$140,012.87 ","$177,600.69 ","$37,587.82 ","$3,818.48 ",65,0,Enviada,,,,,
1766,827,25,2016-08-27 00:32:46 UTC,1%,"$171,210.94 ","$216,152.24 ","$44,941.30 ","$3,120.19 ",96,0,Enviada,,,,,
1238,626,26,2021-08-17 14:36:04 UTC,1%,"$111,520.32 ","$192,191.31 ","$80,670.99 ","$2,011.95 ",93,2,Enviada,,,,,
1518,504,26,2022-03-19 10:28:19 UTC,2%,"$133,231.81 ","$164,079.95 ","$30,848.14 ","$3,622.38 ",60,5,Enviada,,,,,
1718,379,26,2011-08-21 17:37:22 UTC,1%,"$162,981.10 ","$207,719.18 ","$44,738.08 ","$3,057.87 ",84,4,Enviada,,,,,
1739,317,26,2012-06-22 15:23:21 UTC,2%,"$25,262.26 ","$29,962.47 ","$4,700.21 ",$708.64 ,64,3,Enviada,,,,,
109,902,27,2013-10-18 06:45:28 UTC,3%,"$155,048.82 ","$208,071.45 ","$53,022.63 ","$9,580.05 ",21,1,Enviada,,,,,
567,93,27,2017-07-08 19:14:41 UTC,1%,"$174,401.49 ","$211,234.22 ","$36,832.73 ","$3,410.46 ",73,0,Enviada,,,,,
598,430,27,2022-11-24 12:17:31 UTC,2%,"$33,410.55 ","$44,022.51 ","$10,611.96 ","$1,374.77 ",36,1,Enviada,,,,,
660,897,27,2017-09-07 00:35:08 UTC,1%,"$33,846.45 ","$64,823.80 ","$30,977.35 ","$1,011.29 ",46,4,Enviada,,,,,
730,897,27,2016-04-29 06:19:53 UTC,2%,"$75,215.69 ","$129,792.02 ","$54,576.33 ","$1,993.64 ",114,4,Enviada,,,,,
1214,371,27,2019-08-14 01:41:27 UTC,1%,"$88,692.00 ","$149,447.05 ","$60,755.05 ","$2,342.33 ",50,5,Enviada,,,,,
1370,808,27,2013-08-10 13:42:59 UTC,2%,"$147,410.70 ","$193,379.48 ","$45,968.78 ","$4,259.02 ",67,5,Enviada,,,,,
1457,770,27,2014-07-04 00:46:18 UTC,2%,"$16,914.96 ","$21,365.48 ","$4,450.52 ",$467.48 ,63,3,Enviada,,,,,
1477,624,27,2016-07-28 02:44:22 UTC,2%,"$10,901.78 ","$15,435.03 ","$4,533.25 ",$212.13 ,110,5,Enviada,,,,,
1489,584,27,2019-09-22 04:04:37 UTC,2%,"$18,896.79 ","$26,491.41 ","$7,594.62 ",$570.62 ,48,5,Enviada,,,,,
1547,638,27,2017-01-07 06:23:03 UTC,2%,"$44,760.81 ","$61,835.32 ","$17,074.51 ","$1,541.62 ",49,5,Enviada,,,,,
1820,358,27,2022-11-26 09:59:44 UTC,2%,"$21,065.28 ","$25,728.28 ","$4,663.00 ",$587.64 ,87,0,Enviada,,,,,
1889,436,27,2016-08-17 15:37:28 UTC,2%,"$75,825.31 ","$113,859.74 ","$38,034.43 ","$9,320.83 ",9,6,Enviada,,,,,
1975,643,27,2015-06-05 05:54:51 UTC,2%,"$100,319.06 ","$180,144.45 ","$79,825.39 ","$26,231.19 ",4,5,Enviada,,,,,
432,384,28,2017-06-15 20:54:41 UTC,1%,"$80,997.74 ","$149,598.05 ","$68,600.31 ","$1,966.89 ",64,5,Enviada,,,,,
513,82,28,2019-01-30 07:56:41 UTC,1%,"$122,515.33 ","$219,782.20 ","$97,266.87 ","$3,205.50 ",53,2,Enviada,,,,,
580,35,29,2017-04-17 20:55:15 UTC,1%,"$166,473.24 ","$229,462.99 ","$62,989.75 ","$5,885.49 ",37,0,Enviada,,,,,
605,20,29,2014-08-17 05:37:13 UTC,1%,"$82,690.20 ","$120,311.64 ","$37,621.44 ","$1,394.23 ",82,3,Enviada,,,,,
895,674,29,2020-07-24 15:00:23 UTC,2%,"$94,843.85 ","$140,271.31 ","$45,427.46 ","$2,363.48 ",89,1,Enviada,,,,,
922,327,29,2010-08-16 22:49:10 UTC,2%,"$159,260.11 ","$223,323.45 ","$64,063.34 ","$10,014.52 ",20,2,Enviada,,,,,
935,593,30,2018-05-25 03:45:13 UTC,2%,"$166,721.96 ","$233,975.80 ","$67,253.84 ","$3,923.06 ",89,4,Enviada,,,,,
1411,107,30,2014-05-16 01:07:04 UTC,2%,"$74,705.40 ","$118,591.27 ","$43,885.87 ","$1,590.69 ",95,4,Enviada,,,,,
1679,845,30,2021-12-05 06:09:15 UTC,1%,"$15,546.42 ","$20,258.27 ","$4,711.85 ",$597.04 ,33,0,Enviada,,,,,
1859,506,30,2016-02-10 09:05:00 UTC,2%,"$102,314.92 ","$179,501.93 ","$77,187.01 ","$4,830.16 ",27,5,Enviada,,,,,
428,737,31,2015-11-08 04:06:23 UTC,2%,"$102,033.68 ","$167,087.88 ","$65,054.20 ","$4,374.93 ",33,3,Enviada,,,,,
442,255,31,2014-09-30 14:54:07 UTC,2%,"$36,427.42 ","$71,192.80 ","$34,765.38 ",$931.88 ,108,6,Enviada,,,,,
1132,819,31,2017-05-07 23:00:05 UTC,2%,"$100,487.26 ","$124,271.71 ","$23,784.45 ","$9,572.20 ",12,4,Enviada,,,,,
1404,424,31,2021-08-11 15:33:28 UTC,1%,"$72,467.68 ","$90,672.57 ","$18,204.89 ","$1,386.05 ",74,0,Enviada,,,,,
1793,587,31,2013-05-23 14:26:35 UTC,2%,"$110,456.16 ","$135,753.05 ","$25,296.89 ","$4,019.99 ",42,1,Enviada,,,,,
1876,769,31,2015-08-19 02:41:58 UTC,1%,"$74,808.24 ","$91,810.14 ","$17,001.90 ","$1,012.53 ",114,1,Enviada,,,,,
32,684,32,2019-05-19 10:55:50 UTC,2%,"$150,541.81 ","$214,230.17 ","$63,688.36 ","$12,234.65 ",14,2,Enviada,,,,,
841,266,32,2022-11-25 04:38:38 UTC,2%,"$97,160.59 ","$175,982.06 ","$78,821.47 ","$3,297.90 ",48,3,Enviada,,,,,
1074,574,32,2019-01-27 07:14:07 UTC,1%,"$20,823.66 ","$38,488.39 ","$17,664.73 ",$851.67 ,28,3,Enviada,,,,,
1118,776,32,2017-10-21 23:50:07 UTC,1%,"$34,437.44 ","$47,305.91 ","$12,868.47 ","$1,563.69 ",25,2,Enviada,,,,,
1170,523,32,2011-04-10 08:39:58 UTC,1%,"$36,747.68 ","$50,821.87 ","$14,074.19 ",$591.44 ,106,4,Enviada,,,,,
1616,15,32,2016-11-22 03:43:25 UTC,2%,"$3,962.74 ","$4,673.56 ",$710.82 ,$248.23 ,20,4,Enviada,,,,,
1655,469,32,2014-05-23 12:01:59 UTC,1%,"$200,491.47 ","$244,528.99 ","$44,037.52 ","$3,295.17 ",87,0,Enviada,,,,,
1893,752,32,2012-03-30 03:11:02 UTC,1%,"$103,142.28 ","$124,541.11 ","$21,398.83 ","$1,712.54 ",104,0,Enviada,,,,,
1969,292,32,2016-07-12 00:18:43 UTC,2%,"$125,222.82 ","$211,143.14 ","$85,920.32 ","$8,931.16 ",17,3,Enviada,,,,,
784,516,33,2011-10-26 17:14:53 UTC,1%,"$80,533.99 ","$151,718.99 ","$71,185.00 ","$1,410.46 ",91,4,Enviada,,,,,
1099,621,33,2015-10-10 19:35:33 UTC,2%,"$11,569.14 ","$19,598.82 ","$8,029.68 ",$258.26 ,78,3,Enviada,,,,,
1512,895,33,2020-11-19 13:33:14 UTC,2%,"$99,892.97 ","$174,480.38 ","$74,587.41 ","$5,156.65 ",24,3,Enviada,,,,,
1983,254,33,2013-05-10 08:36:58 UTC,2%,"$113,321.08 ","$146,660.88 ","$33,339.80 ","$5,883.37 ",24,4,Enviada,,,,,
64,137,34,2019-10-06 21:06:21 UTC,1%,"$8,110.36 ","$11,113.79 ","$3,003.43 ","$1,406.17 ",6,6,Enviada,,,,,
381,36,34,2014-11-25 02:21:19 UTC,1%,"$26,168.87 ","$32,190.33 ","$6,021.46 ",$449.06 ,97,4,Enviada,,,,,
424,499,34,2013-06-06 19:59:26 UTC,2%,"$110,943.31 ","$133,251.92 ","$22,308.61 ","$3,512.31 ",45,1,Enviada,,,,,
548,460,34,2010-08-01 23:14:29 UTC,1%,"$42,091.20 ","$84,055.68 ","$41,964.48 ","$1,385.95 ",35,5,Enviada,,,,,
912,602,34,2017-08-03 20:08:25 UTC,2%,"$5,554.13 ","$8,454.51 ","$2,900.38 ",$175.04 ,52,6,Enviada,,,,,
704,985,35,2012-10-13 16:59:01 UTC,1%,"$23,099.80 ","$29,012.83 ","$5,913.03 ",$671.76 ,46,1,Enviada,,,,,
1269,406,35,2016-12-02 05:25:31 UTC,1%,"$17,118.33 ","$25,249.57 ","$8,131.24 ",$776.22 ,26,2,Enviada,,,,,
149,672,36,2013-01-12 20:16:52 UTC,2%,"$4,958.79 ","$5,938.39 ",$979.60 ,$107.65 ,112,4,Enviada,,,,,
956,551,36,2017-11-22 10:39:06 UTC,2%,"$37,977.11 ","$48,504.95 ","$10,527.84 ",$693.12 ,120,3,Enviada,,,,,
1066,534,36,2019-11-22 19:41:04 UTC,1%,"$21,706.49 ","$42,951.18 ","$21,244.69 ","$1,399.66 ",17,6,Enviada,,,,,
1145,849,36,2021-01-11 01:56:28 UTC,2%,"$134,658.77 ","$175,034.36 ","$40,375.59 ","$3,358.82 ",83,5,Enviada,,,,,
200,772,37,2019-03-27 21:33:20 UTC,2%,"$46,919.15 ","$60,001.44 ","$13,082.29 ",$988.28 ,112,1,Enviada,,,,,
516,644,37,2019-08-11 02:24:45 UTC,2%,"$91,145.04 ","$110,898.60 ","$19,753.56 ","$2,260.02 ",98,0,Enviada,,,,,
588,699,37,2019-08-02 03:10:15 UTC,1%,"$136,688.45 ","$243,963.78 ","$107,275.33 ","$2,364.14 ",90,6,Enviada,,,,,
972,711,37,2010-06-23 07:04:18 UTC,2%,"$105,666.05 ","$159,567.04 ","$53,900.99 ","$2,840.34 ",79,6,Enviada,,,,,
982,936,37,2018-04-02 22:24:01 UTC,1%,"$49,850.37 ","$65,947.41 ","$16,097.04 ","$1,071.13 ",75,4,Enviada,,,,,
1067,986,37,2022-09-04 04:31:22 UTC,1%,"$104,304.80 ","$190,050.37 ","$85,745.57 ","$1,740.94 ",88,1,Enviada,,,,,
1322,128,37,2013-12-09 03:13:48 UTC,2%,"$134,672.44 ","$193,374.09 ","$58,701.65 ","$2,796.61 ",113,3,Enviada,,,,,
1781,578,37,2018-11-06 22:04:53 UTC,2%,"$58,488.39 ","$116,856.02 ","$58,367.63 ","$2,896.48 ",28,5,Enviada,,,,,
1814,870,37,2012-05-18 17:16:23 UTC,1%,"$56,948.17 ","$81,043.30 ","$24,095.13 ","$1,035.46 ",95,3,Enviada,,,,,
1842,214,37,2022-02-22 13:33:14 UTC,2%,"$98,835.31 ","$146,726.00 ","$47,890.69 ","$4,650.26 ",28,6,Enviada,,,,,
1932,410,37,2016-08-22 10:08:51 UTC,2%,"$138,943.56 ","$199,461.47 ","$60,517.91 ","$3,291.60 ",106,1,Enviada,,,,,
824,843,38,2011-08-09 00:28:33 UTC,2%,"$72,284.28 ","$126,768.15 ","$54,483.87 ","$4,644.51 ",19,2,Enviada,,,,,
162,289,39,2018-11-25 02:54:13 UTC,2%,"$32,620.62 ","$46,158.58 ","$13,537.96 ","$1,783.31 ",23,6,Enviada,,,,,
215,245,39,2021-02-28 18:17:15 UTC,1%,"$64,763.51 ","$108,663.15 ","$43,899.64 ","$1,023.15 ",103,1,Enviada,,,,,
